block_number,block_timestamp,tx_index,msg_sender,transaction_hash,contract_name,function_name,function_inputs,processed,error
7271921,1735378176,0,0x9215A642Cf3c8b883dB416A292e6c3487D84b420,0x6ad09debe02a55c778a25e699e1098cb40babcd27c07dd8191ce53d59e136b3e,Migrator,migrateDelegatorData,"[""158""]",false,
7272818,1735383930,1,0xDB3B95a0567c27a0D1fd6020550dD566A903300d,0xdeae2b7b33779c16d0869264dd2e6b2eaf38721baac3843fec74169950ffd44a,Migrator,migrateDelegatorData,"[""190""]",false,
7272827,1735383984,2,0xDB3B95a0567c27a0D1fd6020550dD566A903300d,0x02e9757b82be58aae28ee2ea9b067d4441e57c6795554147beec38a9198c89bf,Migrator,migrateDelegatorData,"[""101""]",false,
7272848,1735384116,0,0xDB3B95a0567c27a0D1fd6020550dD566A903300d,0x132b29570679d3ddfdeacb12104ac03460386ae31e6c65cf93174718caaefba0,Staking,redelegate,"[""190"",""101"",""4485534235776750""]",false,
7277937,1735414938,1,0xd8C8f8E07F779C34aEc474bA1A04E20E792b5c5f,0x0ec0ce27de07155a0a16e68d365245e972427ef23dd2c4fd197dc0e824be8372,Migrator,migrateDelegatorData,"[""189""]",false,
7278530,1735418526,0,0xa8a809c5B9681617da775E6E16a6eae1792AfB42,0x88bf978f6a1f5085e4266c8a861f2659d0966ac52b487582d522b864f0a15db7,Migrator,migrateDelegatorData,"[""101""]",false,
7281837,1735438476,0,0x3E4c39228BfcBfB98EdbC1905A6C7716cD5303f2,0xb2760a9a79d0114aeee9d7501f78d237b4c3cd8598dd7601e42f8c46a8722d41,Migrator,migrateDelegatorData,"[""78""]",false,
7281852,1735438572,0,0x3E4c39228BfcBfB98EdbC1905A6C7716cD5303f2,0x21604cc0a2292e0946847a8e662f11afcabfa7e500d5a975c7dd86cccde82450,Staking,requestWithdrawal,"[""78"",""1000000000000000000""]",false,
7281857,1735438602,0,0x3E4c39228BfcBfB98EdbC1905A6C7716cD5303f2,0x8fa40c9ecb112d4d4e1f9243d777f2d4187b70fbaa46b5793083af20a567d0ed,Staking,cancelWithdrawal,"[""78""]",false,
7282039,1735439706,0,0x3E4c39228BfcBfB98EdbC1905A6C7716cD5303f2,0x3b3b3e1ff9056dd2b680b610889c786a878061ba9e1ce8f3a5c792f29b9e5c3d,Staking,stake,"[""78"",""3000000000000000000""]",false,
7288437,1735478622,0,0xD28B3107724E066264F735ffedAAD0d5f35a426c,0xd3c068403fbcced992d6a90c34a3fd097c1b286708da9bd86d122158e3bfc9f3,Migrator,migrateDelegatorData,"[""191""]",false,
7288519,1735479114,0,0xD28B3107724E066264F735ffedAAD0d5f35a426c,0xa14c7af7c803a69126fcd532b59b88e32ca80904ff54a9f36f1990a36c9a73b4,Migrator,migrateDelegatorData,"[""190""]",false,
7315290,1735641270,0,0x599C59081d9B673BBDdAfbc933B669aA84eA3eE1,0x1d63eb8f9bb1ae72c84af04c9783bb9fc8eb7cf12373486b23e515186acd7c59,Migrator,migrateDelegatorData,"[""131""]",false,
7318535,1735660968,0,0x3E4c39228BfcBfB98EdbC1905A6C7716cD5303f2,0x6497c31506c5cf01251f7d7bedd171f00bdbb05e68c788a46e55db7b1ca7fdb7,Staking,stake,"[""78"",""1000000000000000000""]",false,
7318917,1735663272,0,0x34446D2b12bCb468403386Be511EA857e41d5C04,0xbee4e0e1473008cd4e812954489e5ff07e73a1c67b45af1898ed700ee8708f8e,Migrator,migrateDelegatorData,"[""139""]",false,
7321173,1735676826,0,0xe23A6B2ec7954704422afE8C4C422803928408bA,0xcff12304b0f45eb1aa67ed0f08edaf0eed98fdee45bc6ca416b2a8e918c2a1a6,Staking,stake,"[""139"",""23638000000000000000000""]",false,
7357856,1735898964,0,0xD4656987dB7d5F4692637DC0F216B1EDDEE39BF7,0xf472f23e826670c1936c13be4f97becde4b7b01d2b5d3911c8924243b057553d,Migrator,migrateDelegatorData,"[""189""]",false,
7357868,1735899036,0,0xD4656987dB7d5F4692637DC0F216B1EDDEE39BF7,0x4d7fbaeb182c302d7f16494aee7f5dcfc2671229792d7998864d95b4ea0e35e4,Migrator,migrateDelegatorData,"[""191""]",false,
7357879,1735899102,0,0xD4656987dB7d5F4692637DC0F216B1EDDEE39BF7,0x837a28ac93a542210ddae325e63c4bc2f7a4d965be39ab48cc941c2b941f6587,Migrator,migrateDelegatorData,"[""101""]",false,
7357886,1735899144,0,0xD4656987dB7d5F4692637DC0F216B1EDDEE39BF7,0x9f15570d293ff281464645e11be625ade8adba70127b96adecf47f60c5b78399,Staking,redelegate,"[""101"",""191"",""45167767978551939""]",false,
7358526,1735903116,7,0xd8C8f8E07F779C34aEc474bA1A04E20E792b5c5f,0x3972f3ca5729d584fdc884605b46b206e02f06d1921b184216d7f56e2a43a3bf,Migrator,migrateDelegatorData,"[""166""]",false,
7361294,1735919892,0,0x3008f3C33FeFB6f0FafD749caC0101F326A7cfb3,0xc7e86771f89aaa7480acd52f625a6e17c09519df5dd167bc58a5a6a55e000ecc,Migrator,migrateDelegatorData,"[""166""]",false,
7364265,1735937826,0,0x3E4c39228BfcBfB98EdbC1905A6C7716cD5303f2,0x5a5ad3bbe48707aae18840a308967001a0826f88631a274bb13b34298205d1a7,Migrator,migrateDelegatorData,"[""79""]",false,
7364533,1735939446,0,0x3E4c39228BfcBfB98EdbC1905A6C7716cD5303f2,0x7c9bdb0b1c9b55ce3996e973305ed3b996f0c2cc8142896dcda8cd3e1616c505,Staking,restakeOperatorFee,"[""78"",""1170447974352289698795""]",false,
