"transaction_hash","block_number","delegator_key"
"0xdd281435f9ef204a2015affc71a6226bc0090ab6bde2eb8ed6db97a1490aef3d","37747468","0xcd89b238d943911a63d3aeb5839e73b71e9ee3db7fcafcb40a5a4522326781d5"
"0xdd79cda961d1f57d8f686eeadcd11e1af9e2fa6502412025040e37575c7281ac","37748332","0x0c2ca65a8e695025110953e5dd6ff914b3b763d865f068acbdbbe4439bb5b8ce"
"0x77cb16f2b9b7d37a42edec29f16e2014081bdcbff698eb3f64d89ae30968331d","37748346","0x0c2ca65a8e695025110953e5dd6ff914b3b763d865f068acbdbbe4439bb5b8ce"
"0x3f2b200e9a323954d2312374d69ef8ec5c07cef4230406bf74a1081bd454df02","37752208","0xdc9fc83bf405e26e5be71a112b1665ed697d0b1e79daacec502b35ff723ae99d"
"0xbb7b6ad22f6d43a42c76a59026e54cf3892a346d593a2f9b4beaacd352a23700","37752302","0xaaf8e9e78611b410a9fe2715c58eb7a8f5cfa7053d8840fb71d3bafe45d01118"
"0x139649c484e009ac74a67ca792f51d0b9f094bac50fdcbb02a2839e32aae6216","37752311","0xaaf8e9e78611b410a9fe2715c58eb7a8f5cfa7053d8840fb71d3bafe45d01118"
"0x8479e055ecbf566b69d61df33cf37e623a108d76513cd538dff90e61aaf1ea65","37752314","0xdc9fc83bf405e26e5be71a112b1665ed697d0b1e79daacec502b35ff723ae99d"
"0xd80df0eeefbafff6229153c1d8a6b1140e748fb360fcf729791061e260aa0a1f","37752322","0xdc9fc83bf405e26e5be71a112b1665ed697d0b1e79daacec502b35ff723ae99d"
"0x86296c35cc6921db108cb9cb8371d0f75313c758404b97e88e7c6bf448214bac","37753954","0x787e2a9770dd0826ed59f7c20a17cfb71303cbe3280a342d4b25dde1c78eae4c"
"0xcfee335b3ed3099f6dbec37bdffb13879389ededa2338c78f0d739c7e2444e3a","37753968","0x787e2a9770dd0826ed59f7c20a17cfb71303cbe3280a342d4b25dde1c78eae4c"
"0x29fd12f6a02c8c58a80603b1b7175804604b7b8bb79ffbf8b3b4c1d272dd970a","37754233","0x4546b21588db1d59a6bf973e17635b3b5feed942a5fc26a0ec371027fd27e8a7"
"0x326865c60d2f590acae10f3a1d61724cf177bb25bc8039024677c4f0885fa8e4","37754236",NULL
"0xe596a5e712cb49072abee7623b3f0951572ae2541492fdbb9ceee9a2da0601b6","37754262",NULL
"0xfa33aa613ffd901e41f33bfcf89c4081462b07c1ef20bd25fae9430bfc93432f","37754277",NULL
"0x4d8afc0bc4827c2cc36471b40ddb637270932730299ede92f4dedb3ad968f43a","37754330",NULL
"0xd0c3aac0aef520e0e76115b19cdfc83e6e6393b143017ed57d2809d768c943ba","37754347","0x4546b21588db1d59a6bf973e17635b3b5feed942a5fc26a0ec371027fd27e8a7"
"0x7d741e17f0a7dd712fd8c8a69ef6b666e4a49e2eaf5f06a4398c3cab12bf2c32","37754369",NULL
"0xd8f7f263ea65c4912e15b8161b5edd7743626b0b9a8ecaf7730361afbbf8d49e","37755399","0x8c346f6a404234229ce6098f494806e65c3585640cdd3a898e3fb7c2980d7a8b"
"0x6964237c3dd566c421e4f9f347ea20436608838d93e642867d84dabbd9615976","37755515","0xd2b24c5513d3bc0a5a4045548453153396317f655f25d908f678936ea3953a64"
"0x0600f0d5a3a9a67b1473bf84b9217e6f3ddbfcb650aaf64582671442733e336a","37756162",NULL
"0x3bc1fd46ae7102759f6006971fe2d279858dbc70b7d3bf3be673ef7477e7d97f","37756191",NULL
"0xf3c6771a17afd3232b2b3c826a724daedca80384110ec714f717a9d089bddeb9","37756203",NULL
"0x806e6d0416d1706e27cb65ffd004fb7b50e2d5fb72afb908417c1253abcb6e86","37756210",NULL
"0x2281f0bdf1c6213058ab2c1e47e054fe1112017f1872e6e525cc42275e458540","37756233",NULL
"0x6c2bde7547dfe9b60adaeefea0d624c259d338ae96afe9d8438dcd38c1ff74de","37756246",NULL
"0x7f422d30a35fea8754e3682877f2b69c6dcae7fd4622b903d1de3a780a3ae12c","37756254",NULL
"0xe03f488f0de1851b8fb80cfccfcdaf25793a86b3ac18e25735a2f74f148da231","37756261",NULL
"0x76e1a0cace911dbe5f82dcdaa609d06618cda82292d2a0a033d79ecc13979b1b","37756270","0x2b9594b0ed3c41745504430d39616ef8da7609b6dff35038df14e9405dad0454"
"0x33b8297675bf20bb05b532a2617879e909909e8f0f2097ed509432984b8658d8","37756493","0x123710d6c151b51425b4b092d5dc904b03d73fec442a77519c7fe7a7e3e5fe1d"
"0xca479a6864680eae7b4aaadfbb986dbcf2d798be48c6085a3d8531f42ad997a4","37756504","0x344ef1d75b0e50693e683f815bdaa5b4a0370329c3f85fc83b13dbcef313ab04"
"0x07485b0ef5ea524a45b6db21c5615d60341f6bf7025794c05b7b8e9d220bc7f3","37756625","0xa0563417062f453626aa6218c18370b666f0ee67ac1bce48e1aab4fe667b82ac"
"0x2e89f4f11438ae434932f53b8e2ffd2228cebc20b2d05af48e716039ac8b5b1f","37756635","0xa0563417062f453626aa6218c18370b666f0ee67ac1bce48e1aab4fe667b82ac"
"0x3a0e2bcc85b092a51f52ce73525eec992a982f23523117f1e462e026dc745da3","37756645","0xa0563417062f453626aa6218c18370b666f0ee67ac1bce48e1aab4fe667b82ac"
"0xf99fb152352a92ae3771d93ac71375252694302527063627fe3a272eae10149c","37756663","0xa0563417062f453626aa6218c18370b666f0ee67ac1bce48e1aab4fe667b82ac"
"0x3c339c3b3da15afa5b120a3e29a9d35089bf0feda9f40dd8bd8605b7b346cae4","37759731","0x18a303bbb55d9f47a8b36eb291be335c3a03f555fa2780950085c3dae35d8d43"
"0xc85f23d3c9869ca44f49a1cb2af76da32dc7723cdd592ef6dbcd1019dc3cb139","37760350","0x9259ae4fd9e4e8e52a9f5cf91536b7406a906763681e89db854397058c9b39a4"
"0x2f6b9bc25208a648eb290ca50d3a5f13f09542e123ff7f7d4c266fd9d0b7864d","37760432","0x9259ae4fd9e4e8e52a9f5cf91536b7406a906763681e89db854397058c9b39a4"
"0x5b82253efdefd65d556b7ce523dc9aed649906b409a71e8cc70e22dba18f75f9","37760673","0x123710d6c151b51425b4b092d5dc904b03d73fec442a77519c7fe7a7e3e5fe1d"
"0x1173a59466133a3b5de90a156362587aa825b8f913ba5c7ca4bc887db7a2fe16","37760814","0x0932e8f66e7170ca5c586cf9471eca9dd7662125b1b9a69d7a1b24a35712e0ea"
"0x29ee31b891baebfb805622a9e76d283c9efe509b036615d5c8196504a8c6f370","37760826","0x0932e8f66e7170ca5c586cf9471eca9dd7662125b1b9a69d7a1b24a35712e0ea"
"0x9a1e4a34cca29ad0a8f62f56882ef3bfb8504464167d579b73f75904a192d0a2","37760844","0x0932e8f66e7170ca5c586cf9471eca9dd7662125b1b9a69d7a1b24a35712e0ea"
"0x8cea4f6fba71c59f05f075ed093f5c6c094040c30543f35a4cf64a6d3b044955","37761858","0xad35f4506a34b432aa1f0c8c280d86f8a3720369311bfd4a23c1165a0c0cf5ff"
"0x96da73757107d05f7cdc29667f83838701ab60b7fef86010f8008738fac61761","37762026","0x0cff6bd5ddebe612e11371aa04a3fb847077cf2e8bd68db803549d44d0d1151b"
"0xda34d7e64d664b23465fba60998a18e6029089bae256d4a6465d37107b4a83a5","37764699","0xc25556f0d53e7f7fa5b64a98455007d915d191d74b353b777382630639480993"
"0xd06990aacc7069511d8f45ea8ab78fd190806b0fbc2f527d44f43dad269fa82c","37764709","0xc25556f0d53e7f7fa5b64a98455007d915d191d74b353b777382630639480993"
"0x1b2f7ac9d6312dc9f6933b72e43cb9f3cfdde9f297ca67d2950058beeb849dd4","37764720","0xc25556f0d53e7f7fa5b64a98455007d915d191d74b353b777382630639480993"
"0x857f8a2917ca44a1c573b43e229254c46b6e54c6c6a4627698ecd74a56b609c5","37764726","0xc25556f0d53e7f7fa5b64a98455007d915d191d74b353b777382630639480993"
"0x13dd48291f7704647935ece8fe342c8b33e75db951b2351babb7129fb2e2e618","37764738","0xc25556f0d53e7f7fa5b64a98455007d915d191d74b353b777382630639480993"
"0xb0657fdcff2ab173705634fcab90844a794c658eade003181c684cec62c8fb87","37767029","0x4247f4d60521fec626eb3927db918c70128a42954658116845bd5ba67a7e7cfc"
"0x5a0f7b70589abc3dbba05e1058373ec607c6a462ae198a11cfdd3902c4c4476a","37767044","0x4247f4d60521fec626eb3927db918c70128a42954658116845bd5ba67a7e7cfc"
"0xf0c0b5e491941e52de050e5f80551e96e207ed08af16d4c204e482837f8b6057","37767245","0x4247f4d60521fec626eb3927db918c70128a42954658116845bd5ba67a7e7cfc"
"0x6bd40d35026df34251279766bc2e0556b879b57a11c97c607f0bb867aa25335c","37767395",NULL
"0xf12c45aba3d47790cc820b37475f5b8a22dd464fd8139f4ccb72f0a9880d884f","37767401",NULL
"0x5c5768acde793352d7bec3a1e8f0c9711d312ced98fe3dd5ce5caa873b52b852","37769879","0xad886aed7861d0419cdda43d67b51fba07a2e2aa95236a1326a9a33f1f9813fd"
