"transaction_hash","block_number","delegator_key"
"0xf336ead16bae84e52f4e63303ac5c4a21700f87036b06f8d16e6ce09246615ae","7271456","0xaaf8e9e78611b410a9fe2715c58eb7a8f5cfa7053d8840fb71d3bafe45d01118"
"0x6ad09debe02a55c778a25e699e1098cb40babcd27c07dd8191ce53d59e136b3e","7271921","0x6687087657e23bf1fa05e8079a4e3149d6a853dc64c811a40944ade4dd754d76"
"0xb8b5a74790f5091a5dd9f69b17120077c31deabeeae24772e4815aab7a5dfaf0","7271950","0x6687087657e23bf1fa05e8079a4e3149d6a853dc64c811a40944ade4dd754d76"
"0xdeae2b7b33779c16d0869264dd2e6b2eaf38721baac3843fec74169950ffd44a","7272818","0x787e2a9770dd0826ed59f7c20a17cfb71303cbe3280a342d4b25dde1c78eae4c"
"0x02e9757b82be58aae28ee2ea9b067d4441e57c6795554147beec38a9198c89bf","7272827","0x787e2a9770dd0826ed59f7c20a17cfb71303cbe3280a342d4b25dde1c78eae4c"
"0x132b29570679d3ddfdeacb12104ac03460386ae31e6c65cf93174718caaefba0","7272848","0x787e2a9770dd0826ed59f7c20a17cfb71303cbe3280a342d4b25dde1c78eae4c"
"0xf464ba52db0d51b3bfa646e6e9f2292e76a0ce9750b64861d3b42a30ea851c58","7272932",NULL
"0xf2f8fac87a86abb70e3b678a7c05dd87c71b6ac593ca926efb5a5beb09a5862d","7272945",NULL
"0x4b8e1643a2240cef5dfbabdd2c34a822801f884f05b12246f5683256160cd3d3","7273384","0x02f5c32f0c290724380053648ff1de7aca6a910ce0aed5486c9c129f03f78731"
"0x09056263596ae7ced73e4f59c9bf818420c8918553beb7694b74cfabf379e06b","7273411","0x02f5c32f0c290724380053648ff1de7aca6a910ce0aed5486c9c129f03f78731"
"0x700ebc1e4f5f23faa1b7d9e9f3163633db618fb3b961bb7df27c61571a7e2b16","7273816",NULL
"0x6df04fc7d1acd2166a98740c4700cde87e2ab161bc8dbffd75d2ab4e82dc9b76","7273842","0x4546b21588db1d59a6bf973e17635b3b5feed942a5fc26a0ec371027fd27e8a7"
"0x009798cc4b51bd5b4ee5c73c0184cb34d7d65dbd87a1e65467ee5ebefe0de485","7275122","0xa0563417062f453626aa6218c18370b666f0ee67ac1bce48e1aab4fe667b82ac"
"0xb98cd07ad95c6fff61736a28d2ca74a66c495f92bf78964d52d62dc45a908730","7275392","0x469d8614f605c8a4fb8a0a5fdca23c612ba199004df8f005ce08b27a87a03f8e"
