"transaction_hash","block_number","delegator_key"
"0x4f4f5b6972cf3b92e896801893bb5fdcd297be3b7b7a08beb0a7d2d490c60297","24298160",NULL
"0x75e50c0582e1e427820eb0c29250113414f7cda33ac5dc2ec9da4d573720d47c","24298188",NULL
"0x6380f9888448c23c88857808f90c1a1076f12e7ceb1d5339b0fe1b66a6935dd1","24298219",NULL
"0xb34c027b8560e2fe76aa79b2ccd600a53c5012712712de8333fb8a7a0f47642f","24318347","0x0cff6bd5ddebe612e11371aa04a3fb847077cf2e8bd68db803549d44d0d1151b"
"0xbd51ec6bc326a203a9acca916542eab7eeaafed1a64e71236167127f7f6369d5","24325981",NULL
"0xbd51ec6bc326a203a9acca916542eab7eeaafed1a64e71236167127f7f6369d5","24325981","0x27710c0a5dbb79235f7293e7a29b2d005143e522c7702ee0f1fe91a003f6fa8c"
"0x17ea432b0cb339a70f60d4b8b486bfb211012c9f5f40a9af294ab91a126a386e","24340875","0x1b1783800f9f8d93c08560799c0d8a4115c70494bee427f80040f2f95369d76a"
"0x17ea432b0cb339a70f60d4b8b486bfb211012c9f5f40a9af294ab91a126a386e","24340875",NULL
"0xa67682112330b76ff287d437f8a19d1ee8dbeea7b1fc7e0e728e2068f590474b","24340981","0xbd461b5b7dd325593ec7f57744e7165058cf79edcee07e0efa15df0a9db5aa31"
"0xb73074cf10e8923f25634615131c9bb883983e52062b89ea24f185e993b1eec1","24346767",NULL
"0x990b4298d7873f31c7d69b6e09c83a2408fd0eb2a5c1c84120216fd101090fc8","24346823","0x01b2d04009001590347b6c623950136ec9d7f93930036fdf4410415981ef3edc"
"0x5d65008f2ea25aaa1dcabaeb20c7888242ef0639b5b5f605d131416f85409bae","24346852","0xa6f8ff5a901c3ec83b46a99bce1c1943474be2a8ebbbf44893deec58e87b3ed3"
"0x751fa36586dc62917cf364855581ebc8ad7ce710e94c57a5d477cf7cd4963f77","24346879","0x2803c950bc0c617cd945a380d3fe7c4a28f0b14370127ee34a37ad04b0e3b78e"
"0xda258ee17278283b6283ed4a17ea5445003bdfe8dc5f369aaacd4602ef5c324e","24346897","0x4cea64ac69b0a240b8b7a3c03681020d320528b8e473f6e77456f88f8f98368a"
"0xfcf2c531ec4a362ef6f8fd614d946f5159663928308c2a30890564eabeeaaf4d","24347307","0xe94af3d6559aa7c0bf812d07ae63a829e675876963f5495397883f9efb6b2c1c"
"0xfcf2c531ec4a362ef6f8fd614d946f5159663928308c2a30890564eabeeaaf4d","24347307",NULL
"0x7335bf4031abf0d4cebefe4471acfeae1c4f9213287dbcf62915d859ff96df4a","24347372","0xe94af3d6559aa7c0bf812d07ae63a829e675876963f5495397883f9efb6b2c1c"
"0x7335bf4031abf0d4cebefe4471acfeae1c4f9213287dbcf62915d859ff96df4a","24347372",NULL
"0xedb1ee1c46f4ae1d9f9b46912b0bbf4181c98ba8b1c68ca1e15c5a2a504ba4f6","24355605","0x8f33591db154205b514e9f4ca3fc4e7d58d018614ead3c07dce399a51d96d0eb"
"0x8eab0106e6aa397ff8dd294f55ce51c28476175317e911bb23fef8cdc6619157","24359855","0xbdcde58947b58a1ec854d7e80144bb2c535b2d3db2456afbd882abf6a21cac6f"
"0xf80a131a93d357c0879b9d53760c03c10caf9b4c592f33b0c6d6d8892223747c","24360120",NULL
"0xf80a131a93d357c0879b9d53760c03c10caf9b4c592f33b0c6d6d8892223747c","24360120","0xe94af3d6559aa7c0bf812d07ae63a829e675876963f5495397883f9efb6b2c1c"
"0x3129a27b1de105d1803fbcf337996e2ca499b40b379b74bc66ebfa21ee037d5e","24363026","0xda0e1a679baa3c9baf101b589b13b3eb13c25b2a53ad401c0af527b7c631f34e"
"0x3129a27b1de105d1803fbcf337996e2ca499b40b379b74bc66ebfa21ee037d5e","24363026",NULL
